Character Counts:
mistress: 2
probably: 2
transferred: 1
keeping: 1
latter: 1
likely: 3
issue: 1
depended: 1
whether: 8
continue: 2
turn: 4
chambers: 2
widened: 1
field: 2
fear: 2
bore: 2
details: 1
difficulties: 1
balancing: 2
hansom: 1
cab: 5
drove: 4
remarkably: 2
aquiline: 1
moustached: 1
hurry: 1
shouted: 4
wait: 5
brushed: 1
maid: 2
air: 3
thoroughly: 1
catch: 1
glimpses: 1
talking: 1
excitedly: 1
waving: 1
arms: 1
presently: 1
flurried: 1
stepped: 3
pulled: 7
watch: 7
pocket: 3
earnestly: 1
drive: 3
devil: 1
gross: 1
hankey: 1
regent: 1
church: 6
monica: 3
edgeware: 2
guinea: 1
twenty: 5
went: 3
wondering: 1
neat: 1
landau: 4
coachman: 3
buttoned: 1
tie: 2
ear: 2
tags: 1
sticking: 1
buckles: 1
hadn: 2
shot: 1
glimpse: 3
lovely: 1
die: 1
sovereign: 3
reach: 2
lose: 1
run: 1
perch: 1
driver: 1
shabby: 1
fare: 2
jumped: 1
twelve: 1
wind: 1
cabby: 1
fast: 1
faster: 1
others: 2
steaming: 1
arrived: 1
paid: 1
hurried: 3
surpliced: 1
clergyman: 5
seemed: 5
expostulating: 1
standing: 1
knot: 2
altar: 3
aisle: 1
idler: 1
dropped: 2
suddenly: 2
faced: 2
running: 3
hard: 3
towards: 2
thank: 2
god: 1
ll: 2
won: 2
dragged: 1
mumbling: 1
responses: 1
whispered: 1
vouching: 1
generally: 1
assisting: 1
secure: 4
tying: 1
spinster: 1
done: 9
instant: 4
thanking: 1
lady: 10
beamed: 1
life: 6
started: 6
seems: 2
informality: 1
license: 1
refused: 1
witness: 1
sort: 2
lucky: 1
saved: 1
bridegroom: 1
having: 4
sally: 1
streets: 2
search: 1
bride: 1
mean: 4
chain: 3
occasion: 1
unexpected: 1
affairs: 1
plans: 2
menaced: 1
immediate: 1
departure: 1
necessitate: 1
prompt: 2
measures: 1
separated: 1
driving: 1
park: 1
usual: 1
different: 3
directions: 2
off: 6
arrangements: 1
beef: 1
beer: 1
ringing: 1
busy: 1
food: 1
busier: 1
evening: 5
operation: 1
delighted: 1
breaking: 1
law: 1
nor: 2
chance: 3
arrest: 1
cause: 2
rely: 2
wish: 7
mrs: 1
turner: 1
brought: 3
tray: 1
hungrily: 1
provided: 1
discuss: 1
eat: 1
nearly: 1
hours: 2
action: 1
madame: 1
meet: 1
leave: 2
arranged: 1
occur: 2
insist: 1
interfere: 3
neutral: 2
whatever: 1
unpleasantness: 1
join: 1
conveyed: 1
afterwards: 1
visible: 1
raise: 5
same: 3
cry: 5
entirely: 2
formidable: 2
taking: 3
cigar: 1
shaped: 1
roll: 1
ordinary: 1
plumber: 1
smoke: 4
rocket: 4
fitted: 1
cap: 1
self: 1
task: 1
confined: 2
number: 2
rejoin: 1
ten: 4
hope: 4
remain: 2
signal: 2
prepare: 1
role: 1
play: 1
disappeared: 1
amiable: 1
minded: 1
nonconformist: 1
baggy: 2
trousers: 2
sympathetic: 1
smile: 2
general: 2
peering: 1
benevolent: 1
curiosity: 1
hare: 1
equalle: 1
d: 1
costume: 2
expression: 2
vary: 1
fresh: 1
assumed: 1
fine: 2
actor: 1
science: 1
acute: 1
specialist: 1
ourselves: 2
dusk: 1
lamps: 2
lighted: 1
waiting: 3
coming: 3
occupant: 1
pictured: 1
succinct: 1
description: 1
locality: 1
contrary: 2
quiet: 2
animated: 1
group: 1
shabbily: 1
dressed: 4
smoking: 1
scissors: 2
grinder: 2
wheel: 1
guardsmen: 3
flirting: 1
nurse: 1
several: 3
mouths: 1
fro: 1
simplifies: 1
becomes: 2
edged: 1
weapon: 2
chances: 1
averse: 1
princess: 1
unlikely: 1
carries: 1
size: 2
easy: 3
concealment: 1
knows: 1
capable: 1
searched: 1
carry: 2
banker: 1
inclined: 1
neither: 2
naturally: 1
secretive: 1
secreting: 1
anyone: 1
guardianship: 1
indirect: 1
political: 1
bear: 1
besides: 3
remember: 2
resolved: 1
within: 2
lay: 4
burgled: 1
pshaw: 1
refuse: 1
rumble: 1
carriage: 3
orders: 1
letter: 3
gleam: 1
sidelights: 1
curve: 1
smart: 1
rattled: 1
loafing: 1
dashed: 2
forward: 4
earning: 1
elbowed: 1
loafer: 1
rushed: 7
quarrel: 1
broke: 2
increased: 1
sides: 1
loungers: 2
equally: 1
blow: 1
struck: 2
centre: 1
flushed: 1
struggling: 1
savagely: 1
fists: 1
sticks: 1
crowd: 4
protect: 1
blood: 1
freely: 1
fall: 1
heels: 1
direction: 2
watched: 2
scuffle: 1
crowded: 1
attend: 1
injured: 2
superb: 1
outlined: 1
lights: 1
poor: 2
hurt: 1
dead: 1
voices: 1
gone: 2
hospital: 1
brave: 1
fellow: 2
purse: 1
gang: 1
rough: 1
ah: 2
breathing: 1
marm: 1
surely: 1
comfortable: 1
sofa: 1
solemnly: 1
borne: 1
principal: 1
proceedings: 1
blinds: 1
drawn: 1
couch: 3
compunction: 1
playing: 1
ashamed: 1
creature: 1
conspiring: 1
grace: 1
kindliness: 1
waited: 1
blackest: 1
treachery: 1
draw: 1
intrusted: 1
hardened: 1
heart: 1
ulster: 2
injuring: 2
preventing: 1
motion: 1
need: 2
tossed: 1
sooner: 1
mouth: 1
spectators: 1
gentlemen: 2
maids: 1
joined: 1
shriek: 1
clouds: 1
curled: 1
rushing: 1
figures: 1
later: 1
assuring: 1
alarm: 4
slipping: 1
shouting: 2
rejoiced: 1
arm: 1
mine: 2
uproar: 1
silence: 2
nicely: 1
showed: 1
perfectly: 2
everyone: 1
accomplice: 1
engaged: 3
guessed: 1
row: 1
moist: 1
paint: 2
palm: 2
fell: 2
clapped: 1
piteous: 1
spectacle: 1
trick: 2
fathom: 1
bound: 1
suspected: 1
determined: 1
motioned: 1
thinks: 1
instinct: 1
rush: 2
values: 1
overpowering: 1
impulse: 1
advantage: 2
darlington: 1
substitution: 1
arnsworth: 1
castle: 1
grabs: 1
baby: 1
unmarried: 1
reaches: 1
jewel: 1
box: 1
precious: 1
quest: 2
